model,image,image_sha256,draw,noise_seed,snr_db,payload_uses,scale_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,lpips,ms_ssim,diffusion_nfe,diffusion_seconds
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,4,2095440460,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010177622316405177,29.923538208007812,0.23600506782531738,0.9345331192016602,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,4,2095440460,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009576123557053506,30.18810272216797,0.26677125692367554,0.9343587756156921,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,5,1123466677,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009145614458248019,30.38787078857422,0.25798606872558594,0.9378010034561157,93,4.039688343007583
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,5,1123466677,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009749255841597915,30.11028480529785,0.23924890160560608,0.9346652030944824,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,5,1123466677,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009674147586338222,30.14387321472168,0.26469314098358154,0.9358755350112915,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,6,60553645,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009140832698903978,30.39014434814453,0.24822920560836792,0.9381794333457947,93,4.022965329990257
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,6,60553645,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009991021361202002,30.003902435302734,0.23101022839546204,0.9347002506256104,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,6,60553645,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009491083910688758,30.226842880249023,0.2582225799560547,0.9342688918113708,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,7,4197413953,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009007161715999246,30.454120635986328,0.24866436421871185,0.9379384517669678,93,4.037839732947759
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,7,4197413953,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010062481742352247,29.972949981689453,0.23230423033237457,0.9354397058486938,0,0.0
