dataset,image,snr_db,speed_kmh,channel_seed,h1_real,h1_imag,h2_real,h2_imag,method,nack,scale_bits,payload_uses,total_uses,mse,psnr,ms_ssim,lpips,outage
kodak,01.png,3.0,90.0,3658849881,0.21605804562568665,0.1162109524011612,-0.24332869052886963,0.17392972111701965,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.07698892802000046,11.135717273672904,0.2551651895046234,0.70659339427948,1
kodak,01.png,3.0,90.0,3658849881,0.21605804562568665,0.1162109524011612,-0.24332869052886963,0.17392972111701965,same_codec_direct,0,4096,4096,12290,0.017812054604291916,17.492859821739653,0.416748583316803,0.8250854015350342,1
kodak,01.png,3.0,90.0,3658849881,0.21605804562568665,0.1162109524011612,-0.24332869052886963,0.17392972111701965,same_codec_full_HARQ,1,4096,8192,16388,0.014825507067143917,18.28990443818907,0.5495082139968872,0.7677087783813477,1
kodak,01.png,3.0,90.0,3658849881,0.21605804562568665,0.1162109524011612,-0.24332869052886963,0.17392972111701965,adaptive_HARQ,1,4096,8192,16388,0.014825507067143917,18.28990443818907,0.5495082139968872,0.7677087783813477,1
kodak,01.png,3.0,90.0,3658849881,0.21605804562568665,0.1162109524011612,-0.24332869052886963,0.17392972111701965,FlowHARQ,1,4096,8192,16388,0.014825507067143917,18.28990443818907,0.5495082139968872,0.7677087783813477,1
kodak,01.png,3.0,120.0,4017610526,0.059487234801054,0.529675304889679,-0.4578547775745392,0.14989985525608063,SwinJSCC_author_one_shot,0,16,4096,4130,0.03611326217651367,14.423332791924377,0.3453167676925659,0.7015823721885681,1
kodak,01.png,3.0,120.0,4017610526,0.059487234801054,0.529675304889679,-0.4578547775745392,0.14989985525608063,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.02001987025141716,16.98538741505859,0.578606367111206,0.5927975177764893,1
kodak,01.png,3.0,120.0,4017610526,0.059487234801054,0.529675304889679,-0.4578547775745392,0.14989985525608063,same_codec_direct,0,4096,4096,12290,0.013509484939277172,18.693612085126745,0.6052716970443726,0.7227994203567505,1
kodak,01.png,3.0,120.0,4017610526,0.059487234801054,0.529675304889679,-0.4578547775745392,0.14989985525608063,same_codec_full_HARQ,1,4096,8192,16388,0.011706635355949402,19.315679090536428,0.6793186068534851,0.672019362449646,1
kodak,01.png,3.0,120.0,4017610526,0.059487234801054,0.529675304889679,-0.4578547775745392,0.14989985525608063,adaptive_HARQ,1,4096,8192,16388,0.011706635355949402,19.315679090536428,0.6793186068534851,0.672019362449646,1
kodak,01.png,3.0,120.0,4017610526,0.059487234801054,0.529675304889679,-0.4578547775745392,0.14989985525608063,FlowHARQ,1,4096,8192,16388,0.011706635355949402,19.315679090536428,0.6793186068534851,0.672019362449646,1
kodak,01.png,6.0,30.0,2897411439,0.10902950912714005,1.8697912693023682,0.21637366712093353,1.6484785079956055,SwinJSCC_author_one_shot,0,16,4096,4130,0.0029492832254618406,25.302835192932676,0.9392120242118835,0.2225063443183899,0
kodak,01.png,6.0,30.0,2897411439,0.10902950912714005,1.8697912693023682,0.21637366712093353,1.6484785079956055,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0027599018067121506,25.591063692252476,0.9449719786643982,0.21517103910446167,0
