model,image,image_sha256,snr_db,draw,noise_seed,payload_uses,scale_uses,rate_map_bits,rate_map_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,ms_ssim,lpips
ntscc_quality2_paid_metadata,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,10.0,3,2287472751,5827.0,32,1024,2048,2,0.029637654622395832,0.040227254231770836,0.0003630618448369205,34.40019607543945,0.9716962575912476,0.09860888868570328
ntscc_quality2_paid_metadata,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,10.0,4,1313588783,5827.0,32,1024,2048,2,0.029637654622395832,0.040227254231770836,0.00035918396315537393,34.44683074951172,0.9722768068313599,0.09840787947177887
ntscc_quality2_paid_metadata,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,10.0,5,2230534372,5827.0,32,1024,2048,2,0.029637654622395832,0.040227254231770836,0.0003485050692688674,34.577911376953125,0.9721386432647705,0.10214872658252716
ntscc_quality2_paid_metadata,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,10.0,6,1072158569,5827.0,32,1024,2048,2,0.029637654622395832,0.040227254231770836,0.00035528987064026296,34.494171142578125,0.9721579551696777,0.0990896075963974
ntscc_quality2_paid_metadata,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,10.0,7,2643020808,5827.0,32,1024,2048,2,0.029637654622395832,0.040227254231770836,0.0003654564206954092,34.37164306640625,0.9717884063720703,0.09904816001653671
ntscc_quality2_paid_metadata,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,10.0,8,825087127,5827.0,32,1024,2048,2,0.029637654622395832,0.040227254231770836,0.00035698339343070984,34.4735221862793,0.9720672369003296,0.09884529560804367
ntscc_quality2_paid_metadata,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,10.0,9,2667223972,5827.0,32,1024,2048,2,0.029637654622395832,0.040227254231770836,0.00036407512379810214,34.388092041015625,0.9723848104476929,0.09707280993461609
ntscc_quality2_paid_metadata,10.png,9dfb70f5867c29ff9ed6313683f19b3d867849e40fbc0c4c54a4a89df341cf23,10.0,0,3374710692,4875.0,32,1024,2048,2,0.0247955322265625,0.0353851318359375,0.0002194551343563944,36.586544036865234,0.954641580581665,0.1720729023218155
ntscc_quality2_paid_metadata,10.png,9dfb70f5867c29ff9ed6313683f19b3d867849e40fbc0c4c54a4a89df341cf23,10.0,1,409321142,4875.0,32,1024,2048,2,0.0247955322265625,0.0353851318359375,0.0002149153733626008,36.67732620239258,0.9554139971733093,0.16547806560993195
ntscc_quality2_paid_metadata,10.png,9dfb70f5867c29ff9ed6313683f19b3d867849e40fbc0c4c54a4a89df341cf23,10.0,2,2131250346,4875.0,32,1024,2048,2,0.0247955322265625,0.0353851318359375,0.00021956645650789142,36.58434295654297,0.9545390009880066,0.16708505153656006
