model,image,image_sha256,draw,noise_seed,rounds,snr_db,height,width,cbr_payload,mse,psnr,ms_ssim,ms_ssim_db,lpips
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,8,100027078,1,10,256,256,0.041666666666666664,0.0024765008129179478,26.061614990234375,0.9040505290031433,10.179574966430664,0.2494550347328186
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,9,100027079,1,10,256,256,0.041666666666666664,0.0025834746193140745,25.877960205078125,0.898988664150238,9.956298828125,0.25075215101242065
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,0,100037070,1,10,256,256,0.041666666666666664,0.0008099265396595001,30.915544509887695,0.9428790807723999,12.432048797607422,0.26960861682891846
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,1,100037071,1,10,256,256,0.041666666666666664,0.0008445362327620387,30.73381805419922,0.9426165819168091,12.41213607788086,0.2555859088897705
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,2,100037072,1,10,256,256,0.041666666666666664,0.0008153175003826618,30.886730194091797,0.9425868391990662,12.409886360168457,0.25597453117370605
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,3,100037073,1,10,256,256,0.041666666666666664,0.0008143017766997218,30.892147064208984,0.9445657134056091,12.562215805053711,0.2568489611148834
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,4,100037074,1,10,256,256,0.041666666666666664,0.0008542744326405227,30.684024810791016,0.9438202381134033,12.504201889038086,0.24992859363555908
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,5,100037075,1,10,256,256,0.041666666666666664,0.0008166293846443295,30.879749298095703,0.9432926177978516,12.463603973388672,0.26123613119125366
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,6,100037076,1,10,256,256,0.041666666666666664,0.0008289342513307929,30.814800262451172,0.9408983588218689,12.284006118774414,0.2672485113143921
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,7,100037077,1,10,256,256,0.041666666666666664,0.0008298011962324381,30.810260772705078,0.9463250041007996,12.702280044555664,0.2603625953197479
