dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
div2k,0864.png,2030,8001,12.0,30.0,ideal,flowharq,0,4096,4096,1,12290,27.623960494995117,0.001728239469230175,0.46944230794906616,0.8969162106513977,0,0
div2k,0861.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,12.981500625610352,0.05033266916871071,0.7983995079994202,0.28816258907318115,1,1
div2k,0862.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,25.117259979248047,0.0030780385714024305,0.637563943862915,0.8226683735847473,0,0
div2k,0863.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,23.52381134033203,0.004442411009222269,0.5729267597198486,0.8085096478462219,1,1
div2k,0864.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,27.391643524169922,0.0018232058500871062,0.46624940633773804,0.8971788883209229,0,0
div2k,0861.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,16.637853622436523,0.021687759086489677,0.6000275611877441,0.7143155932426453,1,0
div2k,0862.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,25.200359344482422,0.0030197009909898043,0.6260215640068054,0.8343945145606995,0,0
div2k,0863.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,24.404434204101562,0.003627074183896184,0.52299964427948,0.8487264513969421,0,0
div2k,0864.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,27.401865005493164,0.0018189199035987258,0.46625852584838867,0.8974399566650391,0,0
div2k,0861.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,13.002950668334961,0.0500846803188324,0.7924588918685913,0.2927929759025574,1,1
div2k,0862.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,25.238357543945312,0.0029933974146842957,0.6378322839736938,0.8226620554924011,0,0
div2k,0863.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,23.832948684692383,0.004137188196182251,0.5870319604873657,0.8024047017097473,1,1
div2k,0864.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,27.62386131286621,0.0017282796325162053,0.4694387912750244,0.8969152569770813,0,0
div2k,0861.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,16.637853622436523,0.021687759086489677,0.6000275611877441,0.7143155932426453,1,0
div2k,0862.png,2030,8001,12.0,30.0,binary16,adaptive_harq,0,4096,4096,1,12290,25.117259979248047,0.0030780385714024305,0.637563943862915,0.8226683735847473,0,0
div2k,0863.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,24.404434204101562,0.003627074183896184,0.52299964427948,0.8487264513969421,0,0
div2k,0864.png,2030,8001,12.0,30.0,binary16,adaptive_harq,0,4096,4096,1,12290,27.391643524169922,0.0018232058500871062,0.46624940633773804,0.8971788883209229,0,0
div2k,0861.png,2030,8001,12.0,30.0,binary16,flowharq,1,8192,4096,2,16388,16.637853622436523,0.021687759086489677,0.6000275611877441,0.7143155932426453,1,0
div2k,0862.png,2030,8001,12.0,30.0,binary16,flowharq,0,4096,4096,1,12290,25.238357543945312,0.0029933974146842957,0.6378322839736938,0.8226620554924011,0,0
div2k,0863.png,2030,8001,12.0,30.0,binary16,flowharq,0,4096,4096,1,12290,23.832948684692383,0.004137188196182251,0.5870319604873657,0.8024047017097473,1,1
div2k,0864.png,2030,8001,12.0,30.0,binary16,flowharq,0,4096,4096,1,12290,27.62386131286621,0.0017282796325162053,0.4694387912750244,0.8969152569770813,0,0
div2k,0865.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,24.34206199645996,0.003679542802274227,0.6005971431732178,0.8440220952033997,0,0
div2k,0866.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,31.382511138916016,0.0007273590308614075,0.4739300012588501,0.9318065643310547,0,0
div2k,0867.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,20.7582950592041,0.008397895842790604,0.4914587140083313,0.8640169501304626,1,1
div2k,0868.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,21.336254119873047,0.007351474836468697,0.42249414324760437,0.8893649578094482,1,1
div2k,0865.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,24.831392288208008,0.003287462517619133,0.5767476558685303,0.8731302618980408,0,0
div2k,0866.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,31.321216583251953,0.000737697584554553,0.474069207906723,0.9333879351615906,0,0
div2k,0867.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,20.805482864379883,0.008307143114507198,0.4900209307670593,0.8681010603904724,1,0
div2k,0868.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,21.60753631591797,0.0069063142873346806,0.413748174905777,0.9026826024055481,1,0
div2k,0865.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,24.506311416625977,0.0035429808776825666,0.6013850569725037,0.8445661664009094,0,0
div2k,0866.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,31.378772735595703,0.0007279856945388019,0.47365349531173706,0.931780993938446,0,0
div2k,0867.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,20.802799224853516,0.008312278427183628,0.49217742681503296,0.8639388680458069,1,1
div2k,0868.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,21.399085998535156,0.007245885673910379,0.42351269721984863,0.8892910480499268,1,1
div2k,0865.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,24.831392288208008,0.003287462517619133,0.5767476558685303,0.8731302618980408,0,0
div2k,0866.png,2030,8001,12.0,30.0,ideal,adaptive_harq,0,4096,4096,1,12290,31.382511138916016,0.0007273590308614075,0.4739300012588501,0.9318065643310547,0,0
div2k,0867.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,20.805482864379883,0.008307143114507198,0.4900209307670593,0.8681010603904724,1,0
div2k,0868.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,21.60753631591797,0.0069063142873346806,0.413748174905777,0.9026826024055481,1,0
div2k,0865.png,2030,8001,12.0,30.0,ideal,flowharq,1,8192,4096,2,16388,24.831392288208008,0.003287462517619133,0.5767476558685303,0.8731302618980408,0,0
div2k,0866.png,2030,8001,12.0,30.0,ideal,flowharq,0,4096,4096,1,12290,31.378772735595703,0.0007279856945388019,0.47365349531173706,0.931780993938446,0,0
div2k,0867.png,2030,8001,12.0,30.0,ideal,flowharq,1,8192,4096,2,16388,20.805482864379883,0.008307143114507198,0.4900209307670593,0.8681010603904724,1,0
div2k,0868.png,2030,8001,12.0,30.0,ideal,flowharq,1,8192,4096,2,16388,21.60753631591797,0.0069063142873346806,0.413748174905777,0.9026826024055481,1,0
