dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
kodak,11.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,19.857860565185547,0.010332703590393066,0.5298058390617371,0.8111376762390137,1,0
kodak,12.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,23.013874053955078,0.004995888564735651,0.5405840277671814,0.8186381459236145,1,0
kodak,09.png,2030,9001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,22.471473693847656,0.005660473834723234,0.46662187576293945,0.8286852240562439,1,0
kodak,10.png,2030,9001,0.0,30.0,ideal,flowharq,0,4096,4096,1,12290,25.879859924316406,0.0025823432952165604,0.684201180934906,0.7813979983329773,0,0
kodak,11.png,2030,9001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,19.857860565185547,0.010332703590393066,0.5298058390617371,0.8111376762390137,1,0
kodak,12.png,2030,9001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,23.013874053955078,0.004995888564735651,0.5405840277671814,0.8186381459236145,1,0
kodak,09.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,21.569337844848633,0.0069673266261816025,0.5185993909835815,0.7797839045524597,1,1
kodak,10.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,25.822986602783203,0.002616382436826825,0.6763964295387268,0.7911497950553894,0,0
kodak,11.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,19.596940994262695,0.010972506366670132,0.550936222076416,0.78770512342453,1,1
kodak,12.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,21.8363094329834,0.006551928352564573,0.588333010673523,0.7698232531547546,1,1
kodak,09.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,22.471481323242188,0.005660463124513626,0.46662479639053345,0.8286843299865723,1,0
kodak,10.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,27.59151840209961,0.0017411978915333748,0.5706154704093933,0.8683440089225769,0,0
kodak,11.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,19.857799530029297,0.010332847945392132,0.5298087000846863,0.8111360669136047,1,0
kodak,12.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,23.01388168334961,0.004995876457542181,0.5405842065811157,0.8186342716217041,1,0
kodak,09.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,21.621732711791992,0.006883776281028986,0.547623872756958,0.7628801465034485,1,1
kodak,10.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,25.879940032958984,0.0025822955649346113,0.6842020153999329,0.7813973426818848,0,0
kodak,11.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,19.733699798583984,0.010632365942001343,0.5514361262321472,0.786594569683075,1,1
kodak,12.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,22.086692810058594,0.006184874568134546,0.6017205119132996,0.7643899321556091,1,1
kodak,09.png,2030,9001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,22.471481323242188,0.005660463124513626,0.46662479639053345,0.8286843299865723,1,0
kodak,10.png,2030,9001,0.0,30.0,binary16,adaptive_harq,0,4096,4096,1,12290,25.822986602783203,0.002616382436826825,0.6763964295387268,0.7911497950553894,0,0
kodak,11.png,2030,9001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,19.857799530029297,0.010332847945392132,0.5298087000846863,0.8111360669136047,1,0
kodak,12.png,2030,9001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,23.01388168334961,0.004995876457542181,0.5405842065811157,0.8186342716217041,1,0
kodak,09.png,2030,9001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,22.471481323242188,0.005660463124513626,0.46662479639053345,0.8286843299865723,1,0
kodak,10.png,2030,9001,0.0,30.0,binary16,flowharq,0,4096,4096,1,12290,25.879940032958984,0.0025822955649346113,0.6842020153999329,0.7813973426818848,0,0
kodak,11.png,2030,9001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,19.857799530029297,0.010332847945392132,0.5298087000846863,0.8111360669136047,1,0
kodak,12.png,2030,9001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,23.01388168334961,0.004995876457542181,0.5405842065811157,0.8186342716217041,1,0
kodak,13.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,15.748381614685059,0.02661716751754284,1.002102255821228,0.32984688878059387,1,1
kodak,14.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,15.278141021728516,0.02966100536286831,0.7960510849952698,0.34347936511039734,1,1
kodak,15.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,20.830137252807617,0.008260116912424564,0.6201899647712708,0.761638343334198,1,1
kodak,16.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,22.844736099243164,0.0051942914724349976,0.6756433844566345,0.7340750098228455,1,1
kodak,13.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,19.429643630981445,0.011403433978557587,0.7854132056236267,0.6757165789604187,1,0
kodak,14.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,17.593982696533203,0.017402105033397675,0.6200471520423889,0.659052312374115,1,0
kodak,15.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,22.34954833984375,0.005821638274937868,0.5150187611579895,0.8385800719261169,1,0
kodak,16.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,23.04755973815918,0.004957287106662989,0.6732490062713623,0.7442376017570496,1,0
kodak,13.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,15.639491081237793,0.027292976155877113,0.9993982315063477,0.3239370584487915,1,1
kodak,14.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,15.265087127685547,0.02975030057132244,0.7697994112968445,0.35766711831092834,1,1
kodak,15.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,20.986053466796875,0.00796882901340723,0.637320876121521,0.7475482821464539,1,1
kodak,16.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,22.882692337036133,0.0051490929909050465,0.714285135269165,0.7211772799491882,1,1
kodak,13.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,19.429643630981445,0.011403433978557587,0.7854132056236267,0.6757165789604187,1,0
kodak,14.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,17.593982696533203,0.017402105033397675,0.6200471520423889,0.659052312374115,1,0
kodak,15.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,22.34954833984375,0.005821638274937868,0.5150187611579895,0.8385800719261169,1,0
kodak,16.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,23.04755973815918,0.004957287106662989,0.6732490062713623,0.7442376017570496,1,0
kodak,13.png,2030,9001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,19.429643630981445,0.011403433978557587,0.7854132056236267,0.6757165789604187,1,0
kodak,14.png,2030,9001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,17.593982696533203,0.017402105033397675,0.6200471520423889,0.659052312374115,1,0
kodak,15.png,2030,9001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,22.34954833984375,0.005821638274937868,0.5150187611579895,0.8385800719261169,1,0
kodak,16.png,2030,9001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,23.04755973815918,0.004957287106662989,0.6732490062713623,0.7442376017570496,1,0
kodak,13.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,15.748330116271973,0.02661748230457306,1.0021040439605713,0.32984861731529236,1,1
kodak,14.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,15.278192520141602,0.029660651460289955,0.7960460782051086,0.3434847891330719,1,1
kodak,15.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,20.830211639404297,0.008259978145360947,0.6201875805854797,0.7616395354270935,1,1
