image,method,snr_db,speed_kmh,csi_age_ms,harq_interval_ms,round_correlation,first_gain_sq,second_gain_sq,effective_snr_db,psnr,ssim,mse,ms_ssim,ms_ssim_db,cbr_payload,psnr_outage,lpips,nack,transmission_rounds,predicted_direct_psnr,predicted_fm_psnr,predicted_direct_psnr_raw,predicted_fm_psnr_raw,mask_rate,flow_steps,mask_threshold,target_psnr,direct_quality_bias,fm_quality_bias,calibration_json,split,training_seed,channel_seed
0884.png,oracle_flowharq,3.0,120.0,2.0,1.0,-0.38632893562316895,1.6695715188980103,0.3748336732387543,5.22605037689209,19.43596076965332,0.516400933265686,0.011386863887310028,0.8471170663833618,8.156410217285156,0.041666666666666664,1,0.4204714000225067,1,2,19.171428680419922,19.43133544921875,18.657209396362305,18.954158782958984,0.2265625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0885.png,direct,3.0,120.0,2.0,1.0,-0.38632893562316895,0.17427745461463928,0.5483525395393372,-4.587587833404541,18.294322967529297,0.2654741406440735,0.014810433611273766,0.5415843725204468,3.38740611076355,0.020833333333333332,1,0.7952605485916138,0,1,17.82475471496582,18.003211975097656,17.310535430908203,17.52603530883789,0.1015625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0886.png,direct,3.0,120.0,2.0,1.0,-0.38632893562316895,1.7395340204238892,3.7199501991271973,5.404329299926758,20.757761001586914,0.5757628083229065,0.008398927748203278,0.7903546094894409,6.785146713256836,0.020833333333333332,1,0.40664157271385193,0,1,19.793350219726562,19.940767288208008,19.279130935668945,19.463590621948242,0.28515625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0887.png,direct,3.0,120.0,2.0,1.0,-0.38632893562316895,0.3041604161262512,0.7855736017227173,-2.168972969055176,15.801551818847656,0.4281225800514221,0.02629328891634941,0.7145442962646484,5.444612979888916,0.020833333333333332,1,0.527819037437439,0,1,16.793493270874023,16.576799392700195,16.279273986816406,16.09962272644043,0.15625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0888.png,direct,3.0,120.0,2.0,1.0,-0.38632893562316895,0.25250595808029175,0.6433663368225098,-2.9772844314575195,18.66367530822754,0.5874599814414978,0.013602932915091515,0.7460343241691589,5.952249526977539,0.020833333333333332,1,0.502863883972168,0,1,18.75702667236328,19.016490936279297,18.242807388305664,18.53931427001953,0.21875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0885.png,full_harq,3.0,120.0,2.0,1.0,-0.38632893562316895,0.17427745461463928,0.5483525395393372,-4.587587833404541,19.10742950439453,0.3275318741798401,0.012281662784516811,0.6893963813781738,5.077934741973877,0.041666666666666664,1,0.6962249279022217,1,2,17.82475471496582,18.003211975097656,17.310535430908203,17.52603530883789,0.1015625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0886.png,full_harq,3.0,120.0,2.0,1.0,-0.38632893562316895,1.7395340204238892,3.7199501991271973,5.404329299926758,21.465728759765625,0.6049780249595642,0.007135545369237661,0.821773886680603,7.490286827087402,0.041666666666666664,1,0.38635653257369995,1,2,19.793350219726562,19.940767288208008,19.279130935668945,19.463590621948242,0.28515625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0887.png,full_harq,3.0,120.0,2.0,1.0,-0.38632893562316895,0.3041604161262512,0.7855736017227173,-2.168972969055176,17.131547927856445,0.4994596242904663,0.01935732364654541,0.8155245780944824,7.340615272521973,0.041666666666666664,1,0.43762367963790894,1,2,16.793493270874023,16.576799392700195,16.279273986816406,16.09962272644043,0.15625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0888.png,full_harq,3.0,120.0,2.0,1.0,-0.38632893562316895,0.25250595808029175,0.6433663368225098,-2.9772844314575195,20.81622314453125,0.6874394416809082,0.008286625146865845,0.8530081510543823,8.327068328857422,0.041666666666666664,1,0.40444037318229675,1,2,18.75702667236328,19.016490936279297,18.242807388305664,18.53931427001953,0.21875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0885.png,fm_only,3.0,120.0,2.0,1.0,-0.38632893562316895,0.17427745461463928,0.5483525395393372,-4.587587833404541,18.260435104370117,0.2663813829421997,0.01492645125836134,0.5436409711837769,3.406933546066284,0.020833333333333332,1,0.7986710071563721,0,1,17.82475471496582,18.003211975097656,17.310535430908203,17.52603530883789,0.1015625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
